group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HALO: sudoku-key-gen,,,,,157921357.0,ns,1
HALO: sudoku-key-gen,,,,,157301016.0,ns,1
HALO: sudoku-key-gen,,,,,156323414.0,ns,1
HALO: sudoku-key-gen,,,,,156381918.0,ns,1
HALO: sudoku-key-gen,,,,,161546552.0,ns,1
HALO: sudoku-key-gen,,,,,156040810.0,ns,1
HALO: sudoku-key-gen,,,,,159611255.0,ns,1
HALO: sudoku-key-gen,,,,,156141132.0,ns,1
HALO: sudoku-key-gen,,,,,157243104.0,ns,1
HALO: sudoku-key-gen,,,,,157290095.0,ns,1
HALO: sudoku-key-gen,,,,,157378947.0,ns,1
HALO: sudoku-key-gen,,,,,155580070.0,ns,1
HALO: sudoku-key-gen,,,,,157923498.0,ns,1
HALO: sudoku-key-gen,,,,,156754044.0,ns,1
HALO: sudoku-key-gen,,,,,159939830.0,ns,1
HALO: sudoku-key-gen,,,,,158329057.0,ns,1
HALO: sudoku-key-gen,,,,,156110321.0,ns,1
HALO: sudoku-key-gen,,,,,157214234.0,ns,1
HALO: sudoku-key-gen,,,,,157168663.0,ns,1
HALO: sudoku-key-gen,,,,,157840657.0,ns,1
HALO: sudoku-key-gen,,,,,157337436.0,ns,1
HALO: sudoku-key-gen,,,,,155937707.0,ns,1
HALO: sudoku-key-gen,,,,,156085851.0,ns,1
HALO: sudoku-key-gen,,,,,157206783.0,ns,1
HALO: sudoku-key-gen,,,,,156349216.0,ns,1
HALO: sudoku-key-gen,,,,,157536441.0,ns,1
HALO: sudoku-key-gen,,,,,157111972.0,ns,1
HALO: sudoku-key-gen,,,,,159140673.0,ns,1
HALO: sudoku-key-gen,,,,,156690443.0,ns,1
HALO: sudoku-key-gen,,,,,157843917.0,ns,1
HALO: sudoku-key-gen,,,,,158834277.0,ns,1
HALO: sudoku-key-gen,,,,,160697986.0,ns,1
HALO: sudoku-key-gen,,,,,158708175.0,ns,1
HALO: sudoku-key-gen,,,,,156163203.0,ns,1
HALO: sudoku-key-gen,,,,,155960948.0,ns,1
HALO: sudoku-key-gen,,,,,156934778.0,ns,1
HALO: sudoku-key-gen,,,,,156955338.0,ns,1
HALO: sudoku-key-gen,,,,,158116612.0,ns,1
HALO: sudoku-key-gen,,,,,156272564.0,ns,1
HALO: sudoku-key-gen,,,,,156341696.0,ns,1
HALO: sudoku-key-gen,,,,,156419527.0,ns,1
HALO: sudoku-key-gen,,,,,158032731.0,ns,1
HALO: sudoku-key-gen,,,,,159571103.0,ns,1
HALO: sudoku-key-gen,,,,,156976329.0,ns,1
HALO: sudoku-key-gen,,,,,157281955.0,ns,1
HALO: sudoku-key-gen,,,,,158355658.0,ns,1
HALO: sudoku-key-gen,,,,,162791279.0,ns,1
HALO: sudoku-key-gen,,,,,163378551.0,ns,1
HALO: sudoku-key-gen,,,,,157660343.0,ns,1
HALO: sudoku-key-gen,,,,,155994909.0,ns,1
HALO: sudoku-key-gen,,,,,156109441.0,ns,1
HALO: sudoku-key-gen,,,,,157556941.0,ns,1
HALO: sudoku-key-gen,,,,,157811046.0,ns,1
HALO: sudoku-key-gen,,,,,157697593.0,ns,1
HALO: sudoku-key-gen,,,,,155853666.0,ns,1
HALO: sudoku-key-gen,,,,,156225114.0,ns,1
HALO: sudoku-key-gen,,,,,159389789.0,ns,1
HALO: sudoku-key-gen,,,,,165642988.0,ns,1
HALO: sudoku-key-gen,,,,,160794958.0,ns,1
HALO: sudoku-key-gen,,,,,157570461.0,ns,1
HALO: sudoku-key-gen,,,,,156770075.0,ns,1
HALO: sudoku-key-gen,,,,,158352037.0,ns,1
HALO: sudoku-key-gen,,,,,161233497.0,ns,1
HALO: sudoku-key-gen,,,,,157214094.0,ns,1
HALO: sudoku-key-gen,,,,,159842648.0,ns,1
HALO: sudoku-key-gen,,,,,157839207.0,ns,1
HALO: sudoku-key-gen,,,,,158116553.0,ns,1
HALO: sudoku-key-gen,,,,,156197993.0,ns,1
HALO: sudoku-key-gen,,,,,156943618.0,ns,1
HALO: sudoku-key-gen,,,,,156026439.0,ns,1
HALO: sudoku-key-gen,,,,,157041721.0,ns,1
HALO: sudoku-key-gen,,,,,155467078.0,ns,1
HALO: sudoku-key-gen,,,,,156969548.0,ns,1
HALO: sudoku-key-gen,,,,,157841377.0,ns,1
HALO: sudoku-key-gen,,,,,156023949.0,ns,1
HALO: sudoku-key-gen,,,,,157015680.0,ns,1
HALO: sudoku-key-gen,,,,,157773445.0,ns,1
HALO: sudoku-key-gen,,,,,156478419.0,ns,1
HALO: sudoku-key-gen,,,,,158100742.0,ns,1
HALO: sudoku-key-gen,,,,,157255705.0,ns,1
HALO: sudoku-key-gen,,,,,156402107.0,ns,1
HALO: sudoku-key-gen,,,,,159364508.0,ns,1
HALO: sudoku-key-gen,,,,,156597561.0,ns,1
HALO: sudoku-key-gen,,,,,157880348.0,ns,1
HALO: sudoku-key-gen,,,,,158807857.0,ns,1
HALO: sudoku-key-gen,,,,,156770005.0,ns,1
HALO: sudoku-key-gen,,,,,156908517.0,ns,1
HALO: sudoku-key-gen,,,,,158828427.0,ns,1
HALO: sudoku-key-gen,,,,,157759855.0,ns,1
HALO: sudoku-key-gen,,,,,158366958.0,ns,1
HALO: sudoku-key-gen,,,,,156447518.0,ns,1
HALO: sudoku-key-gen,,,,,157383197.0,ns,1
HALO: sudoku-key-gen,,,,,158787787.0,ns,1
HALO: sudoku-key-gen,,,,,156989649.0,ns,1
HALO: sudoku-key-gen,,,,,161396350.0,ns,1
HALO: sudoku-key-gen,,,,,161321819.0,ns,1
HALO: sudoku-key-gen,,,,,158073312.0,ns,1
HALO: sudoku-key-gen,,,,,156943009.0,ns,1
HALO: sudoku-key-gen,,,,,156471879.0,ns,1
HALO: sudoku-key-gen,,,,,157542051.0,ns,1
