group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HALO: sudoku-proof,,,,,189890241.0,ns,1
HALO: sudoku-proof,,,,,189721287.0,ns,1
HALO: sudoku-proof,,,,,187192425.0,ns,1
HALO: sudoku-proof,,,,,197492218.0,ns,1
HALO: sudoku-proof,,,,,188962591.0,ns,1
HALO: sudoku-proof,,,,,196244602.0,ns,1
HALO: sudoku-proof,,,,,188283407.0,ns,1
HALO: sudoku-proof,,,,,196397655.0,ns,1
HALO: sudoku-proof,,,,,194273251.0,ns,1
HALO: sudoku-proof,,,,,191519064.0,ns,1
HALO: sudoku-proof,,,,,191311070.0,ns,1
HALO: sudoku-proof,,,,,190309119.0,ns,1
HALO: sudoku-proof,,,,,193441173.0,ns,1
HALO: sudoku-proof,,,,,190631076.0,ns,1
HALO: sudoku-proof,,,,,190084995.0,ns,1
HALO: sudoku-proof,,,,,196786973.0,ns,1
HALO: sudoku-proof,,,,,188493571.0,ns,1
HALO: sudoku-proof,,,,,195487946.0,ns,1
HALO: sudoku-proof,,,,,187938100.0,ns,1
HALO: sudoku-proof,,,,,197581769.0,ns,1
HALO: sudoku-proof,,,,,189721996.0,ns,1
HALO: sudoku-proof,,,,,188754567.0,ns,1
HALO: sudoku-proof,,,,,188082832.0,ns,1
HALO: sudoku-proof,,,,,191150987.0,ns,1
HALO: sudoku-proof,,,,,189160064.0,ns,1
HALO: sudoku-proof,,,,,190411781.0,ns,1
HALO: sudoku-proof,,,,,192565175.0,ns,1
HALO: sudoku-proof,,,,,190042463.0,ns,1
HALO: sudoku-proof,,,,,191746519.0,ns,1
HALO: sudoku-proof,,,,,190332019.0,ns,1
HALO: sudoku-proof,,,,,189148125.0,ns,1
HALO: sudoku-proof,,,,,189725307.0,ns,1
HALO: sudoku-proof,,,,,187886419.0,ns,1
HALO: sudoku-proof,,,,,190626775.0,ns,1
HALO: sudoku-proof,,,,,191864891.0,ns,1
HALO: sudoku-proof,,,,,188738166.0,ns,1
HALO: sudoku-proof,,,,,189321788.0,ns,1
HALO: sudoku-proof,,,,,188242696.0,ns,1
HALO: sudoku-proof,,,,,190441003.0,ns,1
HALO: sudoku-proof,,,,,189495672.0,ns,1
HALO: sudoku-proof,,,,,192183957.0,ns,1
HALO: sudoku-proof,,,,,192003634.0,ns,1
HALO: sudoku-proof,,,,,189648365.0,ns,1
HALO: sudoku-proof,,,,,190527073.0,ns,1
HALO: sudoku-proof,,,,,195409405.0,ns,1
HALO: sudoku-proof,,,,,189770967.0,ns,1
HALO: sudoku-proof,,,,,190206646.0,ns,1
HALO: sudoku-proof,,,,,192291450.0,ns,1
HALO: sudoku-proof,,,,,192259930.0,ns,1
HALO: sudoku-proof,,,,,190460882.0,ns,1
HALO: sudoku-proof,,,,,188900100.0,ns,1
HALO: sudoku-proof,,,,,193615047.0,ns,1
HALO: sudoku-proof,,,,,191600206.0,ns,1
HALO: sudoku-proof,,,,,188960611.0,ns,1
HALO: sudoku-proof,,,,,190165967.0,ns,1
HALO: sudoku-proof,,,,,188415710.0,ns,1
HALO: sudoku-proof,,,,,188924370.0,ns,1
HALO: sudoku-proof,,,,,190848241.0,ns,1
HALO: sudoku-proof,,,,,189110425.0,ns,1
HALO: sudoku-proof,,,,,194293941.0,ns,1
HALO: sudoku-proof,,,,,191406181.0,ns,1
HALO: sudoku-proof,,,,,190528964.0,ns,1
HALO: sudoku-proof,,,,,189677896.0,ns,1
HALO: sudoku-proof,,,,,191385802.0,ns,1
HALO: sudoku-proof,,,,,190327889.0,ns,1
HALO: sudoku-proof,,,,,188827488.0,ns,1
HALO: sudoku-proof,,,,,193145528.0,ns,1
HALO: sudoku-proof,,,,,189435331.0,ns,1
HALO: sudoku-proof,,,,,190063214.0,ns,1
HALO: sudoku-proof,,,,,190963293.0,ns,1
HALO: sudoku-proof,,,,,196041218.0,ns,1
HALO: sudoku-proof,,,,,189704796.0,ns,1
HALO: sudoku-proof,,,,,190052154.0,ns,1
HALO: sudoku-proof,,,,,190088515.0,ns,1
HALO: sudoku-proof,,,,,199084751.0,ns,1
HALO: sudoku-proof,,,,,200845717.0,ns,1
HALO: sudoku-proof,,,,,189127485.0,ns,1
HALO: sudoku-proof,,,,,198641472.0,ns,1
HALO: sudoku-proof,,,,,202448070.0,ns,1
HALO: sudoku-proof,,,,,199191763.0,ns,1
HALO: sudoku-proof,,,,,188724397.0,ns,1
HALO: sudoku-proof,,,,,192441333.0,ns,1
HALO: sudoku-proof,,,,,189848829.0,ns,1
HALO: sudoku-proof,,,,,189205196.0,ns,1
HALO: sudoku-proof,,,,,187974290.0,ns,1
HALO: sudoku-proof,,,,,191330140.0,ns,1
HALO: sudoku-proof,,,,,192008264.0,ns,1
HALO: sudoku-proof,,,,,191591766.0,ns,1
HALO: sudoku-proof,,,,,192326621.0,ns,1
HALO: sudoku-proof,,,,,200185614.0,ns,1
HALO: sudoku-proof,,,,,191401922.0,ns,1
HALO: sudoku-proof,,,,,190808030.0,ns,1
HALO: sudoku-proof,,,,,188431890.0,ns,1
HALO: sudoku-proof,,,,,189805168.0,ns,1
HALO: sudoku-proof,,,,,188716276.0,ns,1
HALO: sudoku-proof,,,,,190261468.0,ns,1
HALO: sudoku-proof,,,,,189817018.0,ns,1
HALO: sudoku-proof,,,,,188377710.0,ns,1
HALO: sudoku-proof,,,,,189952891.0,ns,1
HALO: sudoku-proof,,,,,188769937.0,ns,1
