group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HALO: sudoku-setup,,,,,65448415.0,ns,2
HALO: sudoku-setup,,,,,66416984.0,ns,2
HALO: sudoku-setup,,,,,66796993.0,ns,2
HALO: sudoku-setup,,,,,68929256.0,ns,2
HALO: sudoku-setup,,,,,71136673.0,ns,2
HALO: sudoku-setup,,,,,66588148.0,ns,2
HALO: sudoku-setup,,,,,66279712.0,ns,2
HALO: sudoku-setup,,,,,69159121.0,ns,2
HALO: sudoku-setup,,,,,66191800.0,ns,2
HALO: sudoku-setup,,,,,66826693.0,ns,2
HALO: sudoku-setup,,,,,69548990.0,ns,2
HALO: sudoku-setup,,,,,66435305.0,ns,2
HALO: sudoku-setup,,,,,66468455.0,ns,2
HALO: sudoku-setup,,,,,67106869.0,ns,2
HALO: sudoku-setup,,,,,67605159.0,ns,2
HALO: sudoku-setup,,,,,67548518.0,ns,2
HALO: sudoku-setup,,,,,65961325.0,ns,2
HALO: sudoku-setup,,,,,66246922.0,ns,2
HALO: sudoku-setup,,,,,68355044.0,ns,2
HALO: sudoku-setup,,,,,65937504.0,ns,2
HALO: sudoku-setup,,,,,65459405.0,ns,2
HALO: sudoku-setup,,,,,66152370.0,ns,2
HALO: sudoku-setup,,,,,65824302.0,ns,2
HALO: sudoku-setup,,,,,68675751.0,ns,2
HALO: sudoku-setup,,,,,66457126.0,ns,2
HALO: sudoku-setup,,,,,66343753.0,ns,2
HALO: sudoku-setup,,,,,65968855.0,ns,2
HALO: sudoku-setup,,,,,66024416.0,ns,2
HALO: sudoku-setup,,,,,66199321.0,ns,2
HALO: sudoku-setup,,,,,66967606.0,ns,2
HALO: sudoku-setup,,,,,66026896.0,ns,2
HALO: sudoku-setup,,,,,67669101.0,ns,2
HALO: sudoku-setup,,,,,66910995.0,ns,2
HALO: sudoku-setup,,,,,65983135.0,ns,2
HALO: sudoku-setup,,,,,68125370.0,ns,2
HALO: sudoku-setup,,,,,65844723.0,ns,2
HALO: sudoku-setup,,,,,65986445.0,ns,2
HALO: sudoku-setup,,,,,66364834.0,ns,2
HALO: sudoku-setup,,,,,65814952.0,ns,2
HALO: sudoku-setup,,,,,68288274.0,ns,2
HALO: sudoku-setup,,,,,66055467.0,ns,2
HALO: sudoku-setup,,,,,65832502.0,ns,2
HALO: sudoku-setup,,,,,66074518.0,ns,2
HALO: sudoku-setup,,,,,65961345.0,ns,2
HALO: sudoku-setup,,,,,65842172.0,ns,2
HALO: sudoku-setup,,,,,67087149.0,ns,2
HALO: sudoku-setup,,,,,66016486.0,ns,2
HALO: sudoku-setup,,,,,68639501.0,ns,2
HALO: sudoku-setup,,,,,66604769.0,ns,2
HALO: sudoku-setup,,,,,68073138.0,ns,2
HALO: sudoku-setup,,,,,66637000.0,ns,2
HALO: sudoku-setup,,,,,67003226.0,ns,2
HALO: sudoku-setup,,,,,67666291.0,ns,2
HALO: sudoku-setup,,,,,66097758.0,ns,2
HALO: sudoku-setup,,,,,65258630.0,ns,2
HALO: sudoku-setup,,,,,72953480.0,ns,2
HALO: sudoku-setup,,,,,66730081.0,ns,2
HALO: sudoku-setup,,,,,66943265.0,ns,2
HALO: sudoku-setup,,,,,66935916.0,ns,2
HALO: sudoku-setup,,,,,68145200.0,ns,2
HALO: sudoku-setup,,,,,66736452.0,ns,2
HALO: sudoku-setup,,,,,65716130.0,ns,2
HALO: sudoku-setup,,,,,65665529.0,ns,2
HALO: sudoku-setup,,,,,67112779.0,ns,2
HALO: sudoku-setup,,,,,66910315.0,ns,2
HALO: sudoku-setup,,,,,67966706.0,ns,2
HALO: sudoku-setup,,,,,67426826.0,ns,2
HALO: sudoku-setup,,,,,65878143.0,ns,2
HALO: sudoku-setup,,,,,65767711.0,ns,2
HALO: sudoku-setup,,,,,66309983.0,ns,2
HALO: sudoku-setup,,,,,67454236.0,ns,2
HALO: sudoku-setup,,,,,68118100.0,ns,2
HALO: sudoku-setup,,,,,67467916.0,ns,2
HALO: sudoku-setup,,,,,67927066.0,ns,2
HALO: sudoku-setup,,,,,66809473.0,ns,2
HALO: sudoku-setup,,,,,66678410.0,ns,2
HALO: sudoku-setup,,,,,66202360.0,ns,2
HALO: sudoku-setup,,,,,69040109.0,ns,2
HALO: sudoku-setup,,,,,69965628.0,ns,2
HALO: sudoku-setup,,,,,69981838.0,ns,2
HALO: sudoku-setup,,,,,68724663.0,ns,2
HALO: sudoku-setup,,,,,67491536.0,ns,2
HALO: sudoku-setup,,,,,65534487.0,ns,2
HALO: sudoku-setup,,,,,66628769.0,ns,2
HALO: sudoku-setup,,,,,66465645.0,ns,2
HALO: sudoku-setup,,,,,66158720.0,ns,2
HALO: sudoku-setup,,,,,66159239.0,ns,2
HALO: sudoku-setup,,,,,67240121.0,ns,2
HALO: sudoku-setup,,,,,65688990.0,ns,2
HALO: sudoku-setup,,,,,68140700.0,ns,2
HALO: sudoku-setup,,,,,67253162.0,ns,2
HALO: sudoku-setup,,,,,68539949.0,ns,2
HALO: sudoku-setup,,,,,67307413.0,ns,2
HALO: sudoku-setup,,,,,65616538.0,ns,2
HALO: sudoku-setup,,,,,67916375.0,ns,2
HALO: sudoku-setup,,,,,66715211.0,ns,2
HALO: sudoku-setup,,,,,67513097.0,ns,2
HALO: sudoku-setup,,,,,65787032.0,ns,2
HALO: sudoku-setup,,,,,66427775.0,ns,2
HALO: sudoku-setup,,,,,68270173.0,ns,2
