group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HALO: sudoku-verify,,,,,5561126.0,ns,1
HALO: sudoku-verify,,,,,5756829.0,ns,1
HALO: sudoku-verify,,,,,5304300.0,ns,1
HALO: sudoku-verify,,,,,5490334.0,ns,1
HALO: sudoku-verify,,,,,5518065.0,ns,1
HALO: sudoku-verify,,,,,5345410.0,ns,1
HALO: sudoku-verify,,,,,5851161.0,ns,1
HALO: sudoku-verify,,,,,5404631.0,ns,1
HALO: sudoku-verify,,,,,5684688.0,ns,1
HALO: sudoku-verify,,,,,5273349.0,ns,1
HALO: sudoku-verify,,,,,5391362.0,ns,1
HALO: sudoku-verify,,,,,5482654.0,ns,1
HALO: sudoku-verify,,,,,5546665.0,ns,1
HALO: sudoku-verify,,,,,5311129.0,ns,1
HALO: sudoku-verify,,,,,5656637.0,ns,1
HALO: sudoku-verify,,,,,5482574.0,ns,1
HALO: sudoku-verify,,,,,5832301.0,ns,1
HALO: sudoku-verify,,,,,5310459.0,ns,1
HALO: sudoku-verify,,,,,5288269.0,ns,1
HALO: sudoku-verify,,,,,5465653.0,ns,1
HALO: sudoku-verify,,,,,5236659.0,ns,1
HALO: sudoku-verify,,,,,5332860.0,ns,1
HALO: sudoku-verify,,,,,5508424.0,ns,1
HALO: sudoku-verify,,,,,5385972.0,ns,1
HALO: sudoku-verify,,,,,5608467.0,ns,1
HALO: sudoku-verify,,,,,6671319.0,ns,1
HALO: sudoku-verify,,,,,5767390.0,ns,1
HALO: sudoku-verify,,,,,5244049.0,ns,1
HALO: sudoku-verify,,,,,5486383.0,ns,1
HALO: sudoku-verify,,,,,5437882.0,ns,1
HALO: sudoku-verify,,,,,5521514.0,ns,1
HALO: sudoku-verify,,,,,5486853.0,ns,1
HALO: sudoku-verify,,,,,5606606.0,ns,1
HALO: sudoku-verify,,,,,5351261.0,ns,1
HALO: sudoku-verify,,,,,5172098.0,ns,1
HALO: sudoku-verify,,,,,5751649.0,ns,1
HALO: sudoku-verify,,,,,5216278.0,ns,1
HALO: sudoku-verify,,,,,5509854.0,ns,1
HALO: sudoku-verify,,,,,5280439.0,ns,1
HALO: sudoku-verify,,,,,5362140.0,ns,1
HALO: sudoku-verify,,,,,5721668.0,ns,1
HALO: sudoku-verify,,,,,6550116.0,ns,1
HALO: sudoku-verify,,,,,5503884.0,ns,1
HALO: sudoku-verify,,,,,5747568.0,ns,1
HALO: sudoku-verify,,,,,6178608.0,ns,1
HALO: sudoku-verify,,,,,5522574.0,ns,1
HALO: sudoku-verify,,,,,6116817.0,ns,1
HALO: sudoku-verify,,,,,5515704.0,ns,1
HALO: sudoku-verify,,,,,5625617.0,ns,1
HALO: sudoku-verify,,,,,6148287.0,ns,1
HALO: sudoku-verify,,,,,6343591.0,ns,1
HALO: sudoku-verify,,,,,5500764.0,ns,1
HALO: sudoku-verify,,,,,5464094.0,ns,1
HALO: sudoku-verify,,,,,5316050.0,ns,1
HALO: sudoku-verify,,,,,5331401.0,ns,1
HALO: sudoku-verify,,,,,5401952.0,ns,1
HALO: sudoku-verify,,,,,5585275.0,ns,1
HALO: sudoku-verify,,,,,5305750.0,ns,1
HALO: sudoku-verify,,,,,5367201.0,ns,1
HALO: sudoku-verify,,,,,5607026.0,ns,1
HALO: sudoku-verify,,,,,5510554.0,ns,1
HALO: sudoku-verify,,,,,5945224.0,ns,1
HALO: sudoku-verify,,,,,5340900.0,ns,1
HALO: sudoku-verify,,,,,5476942.0,ns,1
HALO: sudoku-verify,,,,,5805110.0,ns,1
HALO: sudoku-verify,,,,,5631867.0,ns,1
HALO: sudoku-verify,,,,,5963763.0,ns,1
HALO: sudoku-verify,,,,,6334871.0,ns,1
HALO: sudoku-verify,,,,,5707308.0,ns,1
HALO: sudoku-verify,,,,,5463574.0,ns,1
HALO: sudoku-verify,,,,,5649217.0,ns,1
HALO: sudoku-verify,,,,,5235809.0,ns,1
HALO: sudoku-verify,,,,,5767690.0,ns,1
HALO: sudoku-verify,,,,,5464103.0,ns,1
HALO: sudoku-verify,,,,,5614926.0,ns,1
HALO: sudoku-verify,,,,,5640447.0,ns,1
HALO: sudoku-verify,,,,,5457793.0,ns,1
HALO: sudoku-verify,,,,,5839701.0,ns,1
HALO: sudoku-verify,,,,,5478933.0,ns,1
HALO: sudoku-verify,,,,,5290709.0,ns,1
HALO: sudoku-verify,,,,,5623456.0,ns,1
HALO: sudoku-verify,,,,,5313860.0,ns,1
HALO: sudoku-verify,,,,,5784610.0,ns,1
HALO: sudoku-verify,,,,,5252959.0,ns,1
HALO: sudoku-verify,,,,,5660088.0,ns,1
HALO: sudoku-verify,,,,,5524984.0,ns,1
HALO: sudoku-verify,,,,,5799090.0,ns,1
HALO: sudoku-verify,,,,,5489824.0,ns,1
HALO: sudoku-verify,,,,,5309730.0,ns,1
HALO: sudoku-verify,,,,,5429332.0,ns,1
HALO: sudoku-verify,,,,,5268569.0,ns,1
HALO: sudoku-verify,,,,,5677678.0,ns,1
HALO: sudoku-verify,,,,,5212388.0,ns,1
HALO: sudoku-verify,,,,,5967213.0,ns,1
HALO: sudoku-verify,,,,,5374271.0,ns,1
HALO: sudoku-verify,,,,,5753949.0,ns,1
HALO: sudoku-verify,,,,,5304590.0,ns,1
HALO: sudoku-verify,,,,,5710228.0,ns,1
HALO: sudoku-verify,,,,,5770349.0,ns,1
HALO: sudoku-verify,,,,,5606976.0,ns,1
