group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HALO: sudoku,,,,,385769955.0,ns,1
HALO: sudoku,,,,,404489253.0,ns,1
HALO: sudoku,,,,,385754985.0,ns,1
HALO: sudoku,,,,,386273866.0,ns,1
HALO: sudoku,,,,,389187596.0,ns,1
HALO: sudoku,,,,,389195766.0,ns,1
HALO: sudoku,,,,,385302716.0,ns,1
HALO: sudoku,,,,,386459629.0,ns,1
HALO: sudoku,,,,,387289937.0,ns,1
HALO: sudoku,,,,,387946360.0,ns,1
HALO: sudoku,,,,,386239286.0,ns,1
HALO: sudoku,,,,,396151520.0,ns,1
HALO: sudoku,,,,,395459016.0,ns,1
HALO: sudoku,,,,,387628933.0,ns,1
HALO: sudoku,,,,,388338629.0,ns,1
HALO: sudoku,,,,,384275895.0,ns,1
HALO: sudoku,,,,,387641304.0,ns,1
HALO: sudoku,,,,,388484201.0,ns,1
HALO: sudoku,,,,,384850427.0,ns,1
HALO: sudoku,,,,,386886258.0,ns,1
HALO: sudoku,,,,,387329238.0,ns,1
HALO: sudoku,,,,,385185863.0,ns,1
HALO: sudoku,,,,,386360268.0,ns,1
HALO: sudoku,,,,,387085982.0,ns,1
HALO: sudoku,,,,,385988510.0,ns,1
HALO: sudoku,,,,,385881338.0,ns,1
HALO: sudoku,,,,,388362219.0,ns,1
HALO: sudoku,,,,,390677987.0,ns,1
HALO: sudoku,,,,,390128066.0,ns,1
HALO: sudoku,,,,,390617526.0,ns,1
HALO: sudoku,,,,,387439529.0,ns,1
HALO: sudoku,,,,,385673054.0,ns,1
HALO: sudoku,,,,,387123193.0,ns,1
HALO: sudoku,,,,,386725036.0,ns,1
HALO: sudoku,,,,,385950049.0,ns,1
HALO: sudoku,,,,,392926303.0,ns,1
HALO: sudoku,,,,,391113656.0,ns,1
HALO: sudoku,,,,,386679794.0,ns,1
HALO: sudoku,,,,,389955422.0,ns,1
HALO: sudoku,,,,,385474309.0,ns,1
HALO: sudoku,,,,,388407820.0,ns,1
HALO: sudoku,,,,,386216495.0,ns,1
HALO: sudoku,,,,,402452761.0,ns,1
HALO: sudoku,,,,,389882960.0,ns,1
HALO: sudoku,,,,,390792520.0,ns,1
HALO: sudoku,,,,,388122654.0,ns,1
HALO: sudoku,,,,,391225638.0,ns,1
HALO: sudoku,,,,,398020610.0,ns,1
HALO: sudoku,,,,,390225167.0,ns,1
HALO: sudoku,,,,,395300033.0,ns,1
HALO: sudoku,,,,,389549974.0,ns,1
HALO: sudoku,,,,,385837577.0,ns,1
HALO: sudoku,,,,,386535491.0,ns,1
HALO: sudoku,,,,,389030823.0,ns,1
HALO: sudoku,,,,,390386151.0,ns,1
HALO: sudoku,,,,,385217884.0,ns,1
HALO: sudoku,,,,,390274479.0,ns,1
HALO: sudoku,,,,,390383251.0,ns,1
HALO: sudoku,,,,,393523916.0,ns,1
HALO: sudoku,,,,,403765088.0,ns,1
HALO: sudoku,,,,,386956460.0,ns,1
HALO: sudoku,,,,,393380923.0,ns,1
HALO: sudoku,,,,,410402606.0,ns,1
HALO: sudoku,,,,,402438580.0,ns,1
HALO: sudoku,,,,,386594233.0,ns,1
HALO: sudoku,,,,,388881430.0,ns,1
HALO: sudoku,,,,,390748878.0,ns,1
HALO: sudoku,,,,,391524626.0,ns,1
HALO: sudoku,,,,,394928405.0,ns,1
HALO: sudoku,,,,,404698897.0,ns,1
HALO: sudoku,,,,,393016826.0,ns,1
HALO: sudoku,,,,,398133981.0,ns,1
HALO: sudoku,,,,,401814238.0,ns,1
HALO: sudoku,,,,,391906342.0,ns,1
HALO: sudoku,,,,,386782707.0,ns,1
HALO: sudoku,,,,,399622377.0,ns,1
HALO: sudoku,,,,,397064661.0,ns,1
HALO: sudoku,,,,,385869232.0,ns,1
HALO: sudoku,,,,,388162320.0,ns,1
HALO: sudoku,,,,,387247771.0,ns,1
HALO: sudoku,,,,,385664837.0,ns,1
HALO: sudoku,,,,,386291521.0,ns,1
HALO: sudoku,,,,,393893263.0,ns,1
HALO: sudoku,,,,,388815995.0,ns,1
HALO: sudoku,,,,,423537765.0,ns,1
HALO: sudoku,,,,,403967877.0,ns,1
HALO: sudoku,,,,,403690192.0,ns,1
HALO: sudoku,,,,,410416866.0,ns,1
HALO: sudoku,,,,,421367698.0,ns,1
HALO: sudoku,,,,,384695117.0,ns,1
HALO: sudoku,,,,,385693008.0,ns,1
HALO: sudoku,,,,,399968472.0,ns,1
HALO: sudoku,,,,,397285875.0,ns,1
HALO: sudoku,,,,,394592138.0,ns,1
HALO: sudoku,,,,,390725015.0,ns,1
HALO: sudoku,,,,,391625244.0,ns,1
HALO: sudoku,,,,,386553036.0,ns,1
HALO: sudoku,,,,,387198210.0,ns,1
HALO: sudoku,,,,,386326261.0,ns,1
HALO: sudoku,,,,,398411919.0,ns,1
