group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RISC0: sudoku-digest,,,,,997061.0,ns,13643
RISC0: sudoku-digest,,,,,1997102.0,ns,27286
RISC0: sudoku-digest,,,,,3008115.0,ns,40929
RISC0: sudoku-digest,,,,,4006815.0,ns,54572
RISC0: sudoku-digest,,,,,5002797.0,ns,68215
RISC0: sudoku-digest,,,,,5936216.0,ns,81858
RISC0: sudoku-digest,,,,,6968379.0,ns,95501
RISC0: sudoku-digest,,,,,8036911.0,ns,109144
RISC0: sudoku-digest,,,,,9415081.0,ns,122787
RISC0: sudoku-digest,,,,,9924751.0,ns,136430
RISC0: sudoku-digest,,,,,10887183.0,ns,150073
RISC0: sudoku-digest,,,,,11945615.0,ns,163716
RISC0: sudoku-digest,,,,,12946275.0,ns,177359
RISC0: sudoku-digest,,,,,14544691.0,ns,191002
RISC0: sudoku-digest,,,,,14710173.0,ns,204645
RISC0: sudoku-digest,,,,,16173175.0,ns,218288
RISC0: sudoku-digest,,,,,17273038.0,ns,231931
RISC0: sudoku-digest,,,,,17605706.0,ns,245574
RISC0: sudoku-digest,,,,,19024465.0,ns,259217
RISC0: sudoku-digest,,,,,20016027.0,ns,272860
RISC0: sudoku-digest,,,,,20940147.0,ns,286503
RISC0: sudoku-digest,,,,,22675303.0,ns,300146
RISC0: sudoku-digest,,,,,22923418.0,ns,313789
RISC0: sudoku-digest,,,,,24427561.0,ns,327432
RISC0: sudoku-digest,,,,,24971932.0,ns,341075
RISC0: sudoku-digest,,,,,26551177.0,ns,354718
RISC0: sudoku-digest,,,,,26700179.0,ns,368361
RISC0: sudoku-digest,,,,,28954877.0,ns,382004
RISC0: sudoku-digest,,,,,28956397.0,ns,395647
RISC0: sudoku-digest,,,,,30461980.0,ns,409290
RISC0: sudoku-digest,,,,,31015741.0,ns,422933
RISC0: sudoku-digest,,,,,31845269.0,ns,436576
RISC0: sudoku-digest,,,,,33519265.0,ns,450219
RISC0: sudoku-digest,,,,,34345142.0,ns,463862
RISC0: sudoku-digest,,,,,34763621.0,ns,477505
RISC0: sudoku-digest,,,,,35950406.0,ns,491148
RISC0: sudoku-digest,,,,,37253105.0,ns,504791
RISC0: sudoku-digest,,,,,38252375.0,ns,518434
RISC0: sudoku-digest,,,,,38948621.0,ns,532077
RISC0: sudoku-digest,,,,,39901850.0,ns,545720
RISC0: sudoku-digest,,,,,40945933.0,ns,559363
RISC0: sudoku-digest,,,,,42108518.0,ns,573006
RISC0: sudoku-digest,,,,,42654819.0,ns,586649
RISC0: sudoku-digest,,,,,43469357.0,ns,600292
RISC0: sudoku-digest,,,,,44448868.0,ns,613935
RISC0: sudoku-digest,,,,,45925389.0,ns,627578
RISC0: sudoku-digest,,,,,46855399.0,ns,641221
RISC0: sudoku-digest,,,,,47743977.0,ns,654864
RISC0: sudoku-digest,,,,,48804661.0,ns,668507
RISC0: sudoku-digest,,,,,49620238.0,ns,682150
RISC0: sudoku-digest,,,,,50409645.0,ns,695793
RISC0: sudoku-digest,,,,,52076420.0,ns,709436
RISC0: sudoku-digest,,,,,53502151.0,ns,723079
RISC0: sudoku-digest,,,,,55328679.0,ns,736722
RISC0: sudoku-digest,,,,,55153526.0,ns,750365
RISC0: sudoku-digest,,,,,56633597.0,ns,764008
RISC0: sudoku-digest,,,,,57263461.0,ns,777651
RISC0: sudoku-digest,,,,,58078688.0,ns,791294
RISC0: sudoku-digest,,,,,59106900.0,ns,804937
RISC0: sudoku-digest,,,,,59947259.0,ns,818580
RISC0: sudoku-digest,,,,,61340777.0,ns,832223
RISC0: sudoku-digest,,,,,62595225.0,ns,845866
RISC0: sudoku-digest,,,,,63381541.0,ns,859509
RISC0: sudoku-digest,,,,,64521666.0,ns,873152
RISC0: sudoku-digest,,,,,65856484.0,ns,886795
RISC0: sudoku-digest,,,,,66443996.0,ns,900438
RISC0: sudoku-digest,,,,,68013660.0,ns,914081
RISC0: sudoku-digest,,,,,68479760.0,ns,927724
RISC0: sudoku-digest,,,,,69282487.0,ns,941367
RISC0: sudoku-digest,,,,,70609666.0,ns,955010
RISC0: sudoku-digest,,,,,70425081.0,ns,968653
RISC0: sudoku-digest,,,,,72076827.0,ns,982296
RISC0: sudoku-digest,,,,,73090248.0,ns,995939
RISC0: sudoku-digest,,,,,73853254.0,ns,1009582
RISC0: sudoku-digest,,,,,74947838.0,ns,1023225
RISC0: sudoku-digest,,,,,79258030.0,ns,1036868
RISC0: sudoku-digest,,,,,76280026.0,ns,1050511
RISC0: sudoku-digest,,,,,77104694.0,ns,1064154
RISC0: sudoku-digest,,,,,78536534.0,ns,1077797
RISC0: sudoku-digest,,,,,80232641.0,ns,1091440
RISC0: sudoku-digest,,,,,80925585.0,ns,1105083
RISC0: sudoku-digest,,,,,81712962.0,ns,1118726
RISC0: sudoku-digest,,,,,83233604.0,ns,1132369
RISC0: sudoku-digest,,,,,83612653.0,ns,1146012
RISC0: sudoku-digest,,,,,85133405.0,ns,1159655
RISC0: sudoku-digest,,,,,85416001.0,ns,1173298
RISC0: sudoku-digest,,,,,86832031.0,ns,1186941
RISC0: sudoku-digest,,,,,87928355.0,ns,1200584
RISC0: sudoku-digest,,,,,89134480.0,ns,1214227
RISC0: sudoku-digest,,,,,90247454.0,ns,1227870
RISC0: sudoku-digest,,,,,91360798.0,ns,1241513
RISC0: sudoku-digest,,,,,92380219.0,ns,1255156
RISC0: sudoku-digest,,,,,92655416.0,ns,1268799
RISC0: sudoku-digest,,,,,93678567.0,ns,1282442
RISC0: sudoku-digest,,,,,93761918.0,ns,1296085
RISC0: sudoku-digest,,,,,94520116.0,ns,1309728
RISC0: sudoku-digest,,,,,96681881.0,ns,1323371
RISC0: sudoku-digest,,,,,97122580.0,ns,1337014
RISC0: sudoku-digest,,,,,97903928.0,ns,1350657
RISC0: sudoku-digest,,,,,99072982.0,ns,1364300
