group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RISC0: sudoku-prove,,,,,1343910297.0,ns,1
RISC0: sudoku-prove,,,,,1349762521.0,ns,1
RISC0: sudoku-prove,,,,,1351537229.0,ns,1
RISC0: sudoku-prove,,,,,1346398210.0,ns,1
RISC0: sudoku-prove,,,,,1355644716.0,ns,1
RISC0: sudoku-prove,,,,,1388515938.0,ns,1
RISC0: sudoku-prove,,,,,1350778653.0,ns,1
RISC0: sudoku-prove,,,,,1341400702.0,ns,1
RISC0: sudoku-prove,,,,,1376686605.0,ns,1
RISC0: sudoku-prove,,,,,1344955128.0,ns,1
RISC0: sudoku-prove,,,,,1345324755.0,ns,1
RISC0: sudoku-prove,,,,,1351713622.0,ns,1
RISC0: sudoku-prove,,,,,1351186500.0,ns,1
RISC0: sudoku-prove,,,,,1349782270.0,ns,1
RISC0: sudoku-prove,,,,,1342953804.0,ns,1
RISC0: sudoku-prove,,,,,1386888392.0,ns,1
RISC0: sudoku-prove,,,,,1366963246.0,ns,1
RISC0: sudoku-prove,,,,,1363820689.0,ns,1
RISC0: sudoku-prove,,,,,1350859632.0,ns,1
RISC0: sudoku-prove,,,,,1344187630.0,ns,1
RISC0: sudoku-prove,,,,,1351324482.0,ns,1
RISC0: sudoku-prove,,,,,1350451063.0,ns,1
RISC0: sudoku-prove,,,,,1362660024.0,ns,1
RISC0: sudoku-prove,,,,,1380145445.0,ns,1
RISC0: sudoku-prove,,,,,1354373126.0,ns,1
RISC0: sudoku-prove,,,,,1359850763.0,ns,1
RISC0: sudoku-prove,,,,,1348205825.0,ns,1
RISC0: sudoku-prove,,,,,1384996549.0,ns,1
RISC0: sudoku-prove,,,,,1358534434.0,ns,1
RISC0: sudoku-prove,,,,,1380295659.0,ns,1
RISC0: sudoku-prove,,,,,1393555201.0,ns,1
RISC0: sudoku-prove,,,,,1397752870.0,ns,1
RISC0: sudoku-prove,,,,,1378352427.0,ns,1
RISC0: sudoku-prove,,,,,1359674867.0,ns,1
RISC0: sudoku-prove,,,,,1348793407.0,ns,1
RISC0: sudoku-prove,,,,,1384141379.0,ns,1
RISC0: sudoku-prove,,,,,1363588511.0,ns,1
RISC0: sudoku-prove,,,,,1389716638.0,ns,1
RISC0: sudoku-prove,,,,,1381238797.0,ns,1
