group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RISC0: sudoku-setup,,,,,1004891.0,ns,8
RISC0: sudoku-setup,,,,,2025434.0,ns,16
RISC0: sudoku-setup,,,,,3019894.0,ns,24
RISC0: sudoku-setup,,,,,4015616.0,ns,32
RISC0: sudoku-setup,,,,,5007757.0,ns,40
RISC0: sudoku-setup,,,,,6080019.0,ns,48
RISC0: sudoku-setup,,,,,7018930.0,ns,56
RISC0: sudoku-setup,,,,,8090192.0,ns,64
RISC0: sudoku-setup,,,,,9025313.0,ns,72
RISC0: sudoku-setup,,,,,10028214.0,ns,80
RISC0: sudoku-setup,,,,,11073826.0,ns,88
RISC0: sudoku-setup,,,,,12112219.0,ns,96
RISC0: sudoku-setup,,,,,13048458.0,ns,104
RISC0: sudoku-setup,,,,,14042800.0,ns,112
RISC0: sudoku-setup,,,,,15116082.0,ns,120
RISC0: sudoku-setup,,,,,16074763.0,ns,128
RISC0: sudoku-setup,,,,,17078894.0,ns,136
RISC0: sudoku-setup,,,,,18144087.0,ns,144
RISC0: sudoku-setup,,,,,19105238.0,ns,152
RISC0: sudoku-setup,,,,,20053968.0,ns,160
RISC0: sudoku-setup,,,,,21138391.0,ns,168
RISC0: sudoku-setup,,,,,22141222.0,ns,176
RISC0: sudoku-setup,,,,,23328397.0,ns,184
RISC0: sudoku-setup,,,,,24271878.0,ns,192
RISC0: sudoku-setup,,,,,25315270.0,ns,200
RISC0: sudoku-setup,,,,,26820352.0,ns,208
RISC0: sudoku-setup,,,,,27090388.0,ns,216
RISC0: sudoku-setup,,,,,28128621.0,ns,224
RISC0: sudoku-setup,,,,,29247663.0,ns,232
RISC0: sudoku-setup,,,,,30271436.0,ns,240
RISC0: sudoku-setup,,,,,31300978.0,ns,248
RISC0: sudoku-setup,,,,,32399711.0,ns,256
RISC0: sudoku-setup,,,,,33364722.0,ns,264
RISC0: sudoku-setup,,,,,34110238.0,ns,272
RISC0: sudoku-setup,,,,,35042587.0,ns,280
RISC0: sudoku-setup,,,,,36177592.0,ns,288
RISC0: sudoku-setup,,,,,37018219.0,ns,296
RISC0: sudoku-setup,,,,,37996991.0,ns,304
RISC0: sudoku-setup,,,,,39044633.0,ns,312
RISC0: sudoku-setup,,,,,39920021.0,ns,320
RISC0: sudoku-setup,,,,,41027135.0,ns,328
RISC0: sudoku-setup,,,,,42268662.0,ns,336
RISC0: sudoku-setup,,,,,43024268.0,ns,344
RISC0: sudoku-setup,,,,,43928647.0,ns,352
RISC0: sudoku-setup,,,,,44990180.0,ns,360
RISC0: sudoku-setup,,,,,45920049.0,ns,368
RISC0: sudoku-setup,,,,,47031424.0,ns,376
RISC0: sudoku-setup,,,,,47956373.0,ns,384
RISC0: sudoku-setup,,,,,48997805.0,ns,392
RISC0: sudoku-setup,,,,,49880084.0,ns,400
RISC0: sudoku-setup,,,,,51061989.0,ns,408
RISC0: sudoku-setup,,,,,51949199.0,ns,416
RISC0: sudoku-setup,,,,,52938358.0,ns,424
RISC0: sudoku-setup,,,,,53986942.0,ns,432
RISC0: sudoku-setup,,,,,54895421.0,ns,440
RISC0: sudoku-setup,,,,,56090617.0,ns,448
RISC0: sudoku-setup,,,,,56992436.0,ns,456
RISC0: sudoku-setup,,,,,58054388.0,ns,464
RISC0: sudoku-setup,,,,,58952857.0,ns,472
RISC0: sudoku-setup,,,,,59969670.0,ns,480
RISC0: sudoku-setup,,,,,60647263.0,ns,488
RISC0: sudoku-setup,,,,,62151886.0,ns,496
RISC0: sudoku-setup,,,,,62934753.0,ns,504
RISC0: sudoku-setup,,,,,63799661.0,ns,512
RISC0: sudoku-setup,,,,,64926865.0,ns,520
RISC0: sudoku-setup,,,,,66232893.0,ns,528
RISC0: sudoku-setup,,,,,66827735.0,ns,536
RISC0: sudoku-setup,,,,,68251576.0,ns,544
RISC0: sudoku-setup,,,,,68906200.0,ns,552
RISC0: sudoku-setup,,,,,69943052.0,ns,560
RISC0: sudoku-setup,,,,,70868972.0,ns,568
RISC0: sudoku-setup,,,,,71918354.0,ns,576
RISC0: sudoku-setup,,,,,73207732.0,ns,584
RISC0: sudoku-setup,,,,,82677063.0,ns,592
RISC0: sudoku-setup,,,,,76797778.0,ns,600
RISC0: sudoku-setup,,,,,76255077.0,ns,608
RISC0: sudoku-setup,,,,,77509533.0,ns,616
RISC0: sudoku-setup,,,,,77926083.0,ns,624
RISC0: sudoku-setup,,,,,78910783.0,ns,632
RISC0: sudoku-setup,,,,,80149469.0,ns,640
RISC0: sudoku-setup,,,,,81631111.0,ns,648
RISC0: sudoku-setup,,,,,82803307.0,ns,656
RISC0: sudoku-setup,,,,,83218585.0,ns,664
RISC0: sudoku-setup,,,,,83914529.0,ns,672
RISC0: sudoku-setup,,,,,84862681.0,ns,680
RISC0: sudoku-setup,,,,,86487975.0,ns,688
RISC0: sudoku-setup,,,,,87259841.0,ns,696
RISC0: sudoku-setup,,,,,88349885.0,ns,704
