group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RISC0: sudoku-verify,,,,,1749667.0,ns,1
RISC0: sudoku-verify,,,,,3497095.0,ns,2
RISC0: sudoku-verify,,,,,5249561.0,ns,3
RISC0: sudoku-verify,,,,,7003200.0,ns,4
RISC0: sudoku-verify,,,,,8754047.0,ns,5
RISC0: sudoku-verify,,,,,10488493.0,ns,6
RISC0: sudoku-verify,,,,,12253111.0,ns,7
RISC0: sudoku-verify,,,,,13987799.0,ns,8
RISC0: sudoku-verify,,,,,15752955.0,ns,9
RISC0: sudoku-verify,,,,,17490403.0,ns,10
RISC0: sudoku-verify,,,,,19231020.0,ns,11
RISC0: sudoku-verify,,,,,20993748.0,ns,12
RISC0: sudoku-verify,,,,,22764685.0,ns,13
RISC0: sudoku-verify,,,,,24600815.0,ns,14
RISC0: sudoku-verify,,,,,26231629.0,ns,15
RISC0: sudoku-verify,,,,,28009337.0,ns,16
RISC0: sudoku-verify,,,,,29779985.0,ns,17
RISC0: sudoku-verify,,,,,31494391.0,ns,18
RISC0: sudoku-verify,,,,,34396384.0,ns,19
RISC0: sudoku-verify,,,,,35001866.0,ns,20
RISC0: sudoku-verify,,,,,36916397.0,ns,21
RISC0: sudoku-verify,,,,,38584602.0,ns,22
RISC0: sudoku-verify,,,,,40250828.0,ns,23
RISC0: sudoku-verify,,,,,41974105.0,ns,24
RISC0: sudoku-verify,,,,,43765273.0,ns,25
RISC0: sudoku-verify,,,,,45513540.0,ns,26
RISC0: sudoku-verify,,,,,47282029.0,ns,27
RISC0: sudoku-verify,,,,,49335121.0,ns,28
RISC0: sudoku-verify,,,,,51597401.0,ns,29
RISC0: sudoku-verify,,,,,63992394.0,ns,30
RISC0: sudoku-verify,,,,,59152381.0,ns,31
RISC0: sudoku-verify,,,,,56533745.0,ns,32
RISC0: sudoku-verify,,,,,57357293.0,ns,33
RISC0: sudoku-verify,,,,,59360305.0,ns,34
RISC0: sudoku-verify,,,,,61059992.0,ns,35
RISC0: sudoku-verify,,,,,63046964.0,ns,36
RISC0: sudoku-verify,,,,,65116148.0,ns,37
RISC0: sudoku-verify,,,,,66215862.0,ns,38
RISC0: sudoku-verify,,,,,67737724.0,ns,39
RISC0: sudoku-verify,,,,,69441560.0,ns,40
RISC0: sudoku-verify,,,,,71559326.0,ns,41
RISC0: sudoku-verify,,,,,73003096.0,ns,42
RISC0: sudoku-verify,,,,,74805715.0,ns,43
RISC0: sudoku-verify,,,,,89081309.0,ns,44
RISC0: sudoku-verify,,,,,78213197.0,ns,45
RISC0: sudoku-verify,,,,,79326452.0,ns,46
RISC0: sudoku-verify,,,,,81104709.0,ns,47
RISC0: sudoku-verify,,,,,83320126.0,ns,48
RISC0: sudoku-verify,,,,,84556593.0,ns,49
RISC0: sudoku-verify,,,,,86168976.0,ns,50
RISC0: sudoku-verify,,,,,88515028.0,ns,51
RISC0: sudoku-verify,,,,,91735785.0,ns,52
RISC0: sudoku-verify,,,,,91816738.0,ns,53
RISC0: sudoku-verify,,,,,93000192.0,ns,54
RISC0: sudoku-verify,,,,,94561486.0,ns,55
RISC0: sudoku-verify,,,,,97878446.0,ns,56
RISC0: sudoku-verify,,,,,98272726.0,ns,57
RISC0: sudoku-verify,,,,,99852978.0,ns,58
RISC0: sudoku-verify,,,,,101846122.0,ns,59
RISC0: sudoku-verify,,,,,103825113.0,ns,60
RISC0: sudoku-verify,,,,,105481459.0,ns,61
RISC0: sudoku-verify,,,,,106728905.0,ns,62
RISC0: sudoku-verify,,,,,108485613.0,ns,63
RISC0: sudoku-verify,,,,,110197949.0,ns,64
RISC0: sudoku-verify,,,,,112032318.0,ns,65
RISC0: sudoku-verify,,,,,113719935.0,ns,66
RISC0: sudoku-verify,,,,,114700705.0,ns,67
RISC0: sudoku-verify,,,,,116363541.0,ns,68
RISC0: sudoku-verify,,,,,118059146.0,ns,69
RISC0: sudoku-verify,,,,,120368747.0,ns,70
RISC0: sudoku-verify,,,,,121635232.0,ns,71
RISC0: sudoku-verify,,,,,124538055.0,ns,72
RISC0: sudoku-verify,,,,,126089549.0,ns,73
RISC0: sudoku-verify,,,,,127890156.0,ns,74
RISC0: sudoku-verify,,,,,128979449.0,ns,75
RISC0: sudoku-verify,,,,,130225287.0,ns,76
RISC0: sudoku-verify,,,,,132248209.0,ns,77
RISC0: sudoku-verify,,,,,134284723.0,ns,78
RISC0: sudoku-verify,,,,,136035210.0,ns,79
RISC0: sudoku-verify,,,,,137736296.0,ns,80
RISC0: sudoku-verify,,,,,139755709.0,ns,81
RISC0: sudoku-verify,,,,,142268594.0,ns,82
RISC0: sudoku-verify,,,,,142380415.0,ns,83
RISC0: sudoku-verify,,,,,144602842.0,ns,84
RISC0: sudoku-verify,,,,,146969053.0,ns,85
RISC0: sudoku-verify,,,,,148386294.0,ns,86
RISC0: sudoku-verify,,,,,150303304.0,ns,87
RISC0: sudoku-verify,,,,,152252105.0,ns,88
RISC0: sudoku-verify,,,,,153345750.0,ns,89
RISC0: sudoku-verify,,,,,155024725.0,ns,90
RISC0: sudoku-verify,,,,,156556497.0,ns,91
RISC0: sudoku-verify,,,,,159352477.0,ns,92
RISC0: sudoku-verify,,,,,159482150.0,ns,93
RISC0: sudoku-verify,,,,,160940461.0,ns,94
RISC0: sudoku-verify,,,,,163765201.0,ns,95
RISC0: sudoku-verify,,,,,165332615.0,ns,96
RISC0: sudoku-verify,,,,,166973289.0,ns,97
RISC0: sudoku-verify,,,,,170709289.0,ns,98
RISC0: sudoku-verify,,,,,173195423.0,ns,99
RISC0: sudoku-verify,,,,,175526131.0,ns,100
