group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RISC0: sudoku,,,,,1359827157.0,ns,1
RISC0: sudoku,,,,,1369270400.0,ns,1
RISC0: sudoku,,,,,1347615177.0,ns,1
RISC0: sudoku,,,,,1375789278.0,ns,1
RISC0: sudoku,,,,,1353576314.0,ns,1
RISC0: sudoku,,,,,1349228972.0,ns,1
RISC0: sudoku,,,,,1348653678.0,ns,1
RISC0: sudoku,,,,,1363406274.0,ns,1
RISC0: sudoku,,,,,1358681022.0,ns,1
RISC0: sudoku,,,,,1362650467.0,ns,1
RISC0: sudoku,,,,,1345819318.0,ns,1
RISC0: sudoku,,,,,1367178933.0,ns,1
RISC0: sudoku,,,,,1346716747.0,ns,1
RISC0: sudoku,,,,,1352171762.0,ns,1
RISC0: sudoku,,,,,1348289790.0,ns,1
RISC0: sudoku,,,,,1349003015.0,ns,1
RISC0: sudoku,,,,,1350895235.0,ns,1
RISC0: sudoku,,,,,1374591670.0,ns,1
RISC0: sudoku,,,,,1371848602.0,ns,1
RISC0: sudoku,,,,,1402267739.0,ns,1
RISC0: sudoku,,,,,1363714379.0,ns,1
RISC0: sudoku,,,,,1351087398.0,ns,1
RISC0: sudoku,,,,,1348782289.0,ns,1
RISC0: sudoku,,,,,1343835984.0,ns,1
RISC0: sudoku,,,,,1355423621.0,ns,1
RISC0: sudoku,,,,,1354019010.0,ns,1
RISC0: sudoku,,,,,1353031849.0,ns,1
RISC0: sudoku,,,,,1388486605.0,ns,1
RISC0: sudoku,,,,,1359840304.0,ns,1
RISC0: sudoku,,,,,1348560804.0,ns,1
RISC0: sudoku,,,,,1348479182.0,ns,1
RISC0: sudoku,,,,,1347973210.0,ns,1
RISC0: sudoku,,,,,1350467204.0,ns,1
RISC0: sudoku,,,,,1353018908.0,ns,1
RISC0: sudoku,,,,,1360099409.0,ns,1
RISC0: sudoku,,,,,1386937200.0,ns,1
RISC0: sudoku,,,,,1349547423.0,ns,1
RISC0: sudoku,,,,,1348678095.0,ns,1
RISC0: sudoku,,,,,1351373672.0,ns,1
RISC0: sudoku,,,,,1352639249.0,ns,1
RISC0: sudoku,,,,,1355671474.0,ns,1
RISC0: sudoku,,,,,1397428783.0,ns,1
RISC0: sudoku,,,,,1379589033.0,ns,1
RISC0: sudoku,,,,,1360559267.0,ns,1
RISC0: sudoku,,,,,1355721375.0,ns,1
RISC0: sudoku,,,,,1355178612.0,ns,1
RISC0: sudoku,,,,,1348942929.0,ns,1
RISC0: sudoku,,,,,1373294328.0,ns,1
RISC0: sudoku,,,,,1366714727.0,ns,1
RISC0: sudoku,,,,,1368267451.0,ns,1
RISC0: sudoku,,,,,1349128663.0,ns,1
RISC0: sudoku,,,,,1346786262.0,ns,1
RISC0: sudoku,,,,,1378431656.0,ns,1
RISC0: sudoku,,,,,1354983217.0,ns,1
RISC0: sudoku,,,,,1356108581.0,ns,1
RISC0: sudoku,,,,,1351673316.0,ns,1
RISC0: sudoku,,,,,1363982148.0,ns,1
RISC0: sudoku,,,,,1366947452.0,ns,1
RISC0: sudoku,,,,,1352092184.0,ns,1
RISC0: sudoku,,,,,1361309481.0,ns,1
RISC0: sudoku,,,,,1349748805.0,ns,1
RISC0: sudoku,,,,,1380162512.0,ns,1
RISC0: sudoku,,,,,1360062214.0,ns,1
RISC0: sudoku,,,,,1350067950.0,ns,1
RISC0: sudoku,,,,,1360665087.0,ns,1
RISC0: sudoku,,,,,1360516053.0,ns,1
RISC0: sudoku,,,,,1357806425.0,ns,1
RISC0: sudoku,,,,,1368136005.0,ns,1
RISC0: sudoku,,,,,1356224761.0,ns,1
RISC0: sudoku,,,,,1357154940.0,ns,1
RISC0: sudoku,,,,,1357164741.0,ns,1
RISC0: sudoku,,,,,1376641756.0,ns,1
RISC0: sudoku,,,,,1370367262.0,ns,1
RISC0: sudoku,,,,,1349258853.0,ns,1
RISC0: sudoku,,,,,1353166895.0,ns,1
RISC0: sudoku,,,,,1350060948.0,ns,1
RISC0: sudoku,,,,,1352031771.0,ns,1
RISC0: sudoku,,,,,1348588267.0,ns,1
RISC0: sudoku,,,,,1353104023.0,ns,1
RISC0: sudoku,,,,,1388560659.0,ns,1
RISC0: sudoku,,,,,1353824058.0,ns,1
RISC0: sudoku,,,,,1356282571.0,ns,1
RISC0: sudoku,,,,,1360148973.0,ns,1
RISC0: sudoku,,,,,1356459614.0,ns,1
RISC0: sudoku,,,,,1345227884.0,ns,1
RISC0: sudoku,,,,,1356963885.0,ns,1
RISC0: sudoku,,,,,1422640404.0,ns,1
RISC0: sudoku,,,,,1353710464.0,ns,1
RISC0: sudoku,,,,,1372140258.0,ns,1
RISC0: sudoku,,,,,1366271722.0,ns,1
RISC0: sudoku,,,,,1358171740.0,ns,1
RISC0: sudoku,,,,,1407560591.0,ns,1
RISC0: sudoku,,,,,1382688692.0,ns,1
RISC0: sudoku,,,,,1362754587.0,ns,1
RISC0: sudoku,,,,,1349634927.0,ns,1
RISC0: sudoku,,,,,1357039754.0,ns,1
RISC0: sudoku,,,,,1355188615.0,ns,1
RISC0: sudoku,,,,,1373764231.0,ns,1
RISC0: sudoku,,,,,1351954096.0,ns,1
RISC0: sudoku,,,,,1358139688.0,ns,1
