group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sudoku-digest,,,,,970960.0,ns,13381
sudoku-digest,,,,,1934500.0,ns,26762
sudoku-digest,,,,,3019982.0,ns,40143
sudoku-digest,,,,,4001113.0,ns,53524
sudoku-digest,,,,,4847380.0,ns,66905
sudoku-digest,,,,,5948132.0,ns,80286
sudoku-digest,,,,,6949014.0,ns,93667
sudoku-digest,,,,,7863742.0,ns,107048
sudoku-digest,,,,,8851902.0,ns,120429
sudoku-digest,,,,,10035737.0,ns,133810
sudoku-digest,,,,,10570748.0,ns,147191
sudoku-digest,,,,,11644640.0,ns,160572
sudoku-digest,,,,,12454697.0,ns,173953
sudoku-digest,,,,,13395146.0,ns,187334
sudoku-digest,,,,,14523859.0,ns,200715
sudoku-digest,,,,,15948009.0,ns,214096
sudoku-digest,,,,,16626012.0,ns,227477
sudoku-digest,,,,,18064133.0,ns,240858
sudoku-digest,,,,,18544683.0,ns,254239
sudoku-digest,,,,,21628875.0,ns,267620
sudoku-digest,,,,,20435922.0,ns,281001
sudoku-digest,,,,,21652766.0,ns,294382
sudoku-digest,,,,,24462954.0,ns,307763
sudoku-digest,,,,,25056027.0,ns,321144
sudoku-digest,,,,,24207849.0,ns,334525
sudoku-digest,,,,,25018475.0,ns,347906
sudoku-digest,,,,,26166860.0,ns,361287
sudoku-digest,,,,,26565067.0,ns,374668
sudoku-digest,,,,,27559158.0,ns,388049
sudoku-digest,,,,,29471458.0,ns,401430
sudoku-digest,,,,,30858416.0,ns,414811
sudoku-digest,,,,,30057289.0,ns,428192
sudoku-digest,,,,,31238834.0,ns,441573
sudoku-digest,,,,,33347777.0,ns,454954
sudoku-digest,,,,,35374889.0,ns,468335
sudoku-digest,,,,,37512634.0,ns,481716
sudoku-digest,,,,,36708726.0,ns,495097
sudoku-digest,,,,,37763158.0,ns,508478
sudoku-digest,,,,,38503134.0,ns,521859
sudoku-digest,,,,,40192248.0,ns,535240
sudoku-digest,,,,,40235000.0,ns,548621
sudoku-digest,,,,,41093487.0,ns,562002
sudoku-digest,,,,,41228790.0,ns,575383
sudoku-digest,,,,,43342933.0,ns,588764
sudoku-digest,,,,,43501377.0,ns,602145
sudoku-digest,,,,,43839774.0,ns,615526
sudoku-digest,,,,,46081049.0,ns,628907
sudoku-digest,,,,,47650403.0,ns,642288
sudoku-digest,,,,,47692643.0,ns,655669
sudoku-digest,,,,,48487519.0,ns,669050
sudoku-digest,,,,,55853051.0,ns,682431
sudoku-digest,,,,,56933524.0,ns,695812
sudoku-digest,,,,,56571756.0,ns,709193
sudoku-digest,,,,,51732236.0,ns,722574
sudoku-digest,,,,,54742459.0,ns,735955
sudoku-digest,,,,,53638395.0,ns,749336
sudoku-digest,,,,,55036655.0,ns,762717
sudoku-digest,,,,,55476713.0,ns,776098
sudoku-digest,,,,,57654488.0,ns,789479
sudoku-digest,,,,,58509266.0,ns,802860
sudoku-digest,,,,,60407795.0,ns,816241
sudoku-digest,,,,,60180901.0,ns,829622
sudoku-digest,,,,,61651840.0,ns,843003
sudoku-digest,,,,,61932358.0,ns,856384
sudoku-digest,,,,,62754093.0,ns,869765
sudoku-digest,,,,,63990089.0,ns,883146
sudoku-digest,,,,,64943248.0,ns,896527
sudoku-digest,,,,,65573472.0,ns,909908
sudoku-digest,,,,,67521842.0,ns,923289
sudoku-digest,,,,,67930070.0,ns,936670
sudoku-digest,,,,,68736096.0,ns,950051
sudoku-digest,,,,,69655367.0,ns,963432
sudoku-digest,,,,,69896390.0,ns,976813
sudoku-digest,,,,,70040444.0,ns,990194
sudoku-digest,,,,,75305882.0,ns,1003575
sudoku-digest,,,,,77385075.0,ns,1016956
sudoku-digest,,,,,74762461.0,ns,1030337
sudoku-digest,,,,,73746630.0,ns,1043718
sudoku-digest,,,,,75355694.0,ns,1057099
sudoku-digest,,,,,81452359.0,ns,1070480
sudoku-digest,,,,,80130981.0,ns,1083861
sudoku-digest,,,,,80970169.0,ns,1097242
sudoku-digest,,,,,81231794.0,ns,1110623
sudoku-digest,,,,,81840177.0,ns,1124004
sudoku-digest,,,,,82562953.0,ns,1137385
sudoku-digest,,,,,83335057.0,ns,1150766
sudoku-digest,,,,,85859340.0,ns,1164147
sudoku-digest,,,,,86105304.0,ns,1177528
sudoku-digest,,,,,87194488.0,ns,1190909
sudoku-digest,,,,,89096746.0,ns,1204290
sudoku-digest,,,,,91703111.0,ns,1217671
sudoku-digest,,,,,91265111.0,ns,1231052
sudoku-digest,,,,,94053998.0,ns,1244433
sudoku-digest,,,,,91039557.0,ns,1257814
sudoku-digest,,,,,94583639.0,ns,1271195
sudoku-digest,,,,,99039622.0,ns,1284576
sudoku-digest,,,,,99468330.0,ns,1297957
sudoku-digest,,,,,96212153.0,ns,1311338
sudoku-digest,,,,,97066041.0,ns,1324719
sudoku-digest,,,,,97276146.0,ns,1338100
