group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sudoku-prove,,,,,1349836550.0,ns,1
sudoku-prove,,,,,1352104067.0,ns,1
sudoku-prove,,,,,1351175488.0,ns,1
sudoku-prove,,,,,1337064328.0,ns,1
sudoku-prove,,,,,1340120400.0,ns,1
sudoku-prove,,,,,1356066550.0,ns,1
sudoku-prove,,,,,1346858480.0,ns,1
sudoku-prove,,,,,1337909926.0,ns,1
sudoku-prove,,,,,1341786826.0,ns,1
sudoku-prove,,,,,1371628430.0,ns,1
sudoku-prove,,,,,1347066036.0,ns,1
sudoku-prove,,,,,1340154403.0,ns,1
sudoku-prove,,,,,1351959346.0,ns,1
sudoku-prove,,,,,1333368704.0,ns,1
sudoku-prove,,,,,1343295658.0,ns,1
sudoku-prove,,,,,1337323646.0,ns,1
sudoku-prove,,,,,1349814433.0,ns,1
sudoku-prove,,,,,1346332622.0,ns,1
sudoku-prove,,,,,1349590989.0,ns,1
sudoku-prove,,,,,1341141945.0,ns,1
sudoku-prove,,,,,1353329277.0,ns,1
sudoku-prove,,,,,1340724317.0,ns,1
sudoku-prove,,,,,1354525141.0,ns,1
sudoku-prove,,,,,1360206139.0,ns,1
sudoku-prove,,,,,1348319015.0,ns,1
sudoku-prove,,,,,1348991078.0,ns,1
sudoku-prove,,,,,1349115291.0,ns,1
sudoku-prove,,,,,1337592983.0,ns,1
sudoku-prove,,,,,1347913557.0,ns,1
sudoku-prove,,,,,1339494573.0,ns,1
sudoku-prove,,,,,1344943557.0,ns,1
sudoku-prove,,,,,1349388537.0,ns,1
sudoku-prove,,,,,1351938021.0,ns,1
sudoku-prove,,,,,1335267727.0,ns,1
sudoku-prove,,,,,1348071501.0,ns,1
sudoku-prove,,,,,1336767599.0,ns,1
sudoku-prove,,,,,1343921786.0,ns,1
sudoku-prove,,,,,1352923692.0,ns,1
sudoku-prove,,,,,1354325481.0,ns,1
sudoku-prove,,,,,1338143648.0,ns,1
sudoku-prove,,,,,1345390957.0,ns,1
sudoku-prove,,,,,1345278705.0,ns,1
sudoku-prove,,,,,1349906921.0,ns,1
sudoku-prove,,,,,1347025711.0,ns,1
sudoku-prove,,,,,1349596165.0,ns,1
sudoku-prove,,,,,1344028231.0,ns,1
sudoku-prove,,,,,1372708081.0,ns,1
sudoku-prove,,,,,1371436185.0,ns,1
sudoku-prove,,,,,1344125624.0,ns,1
sudoku-prove,,,,,1349271439.0,ns,1
sudoku-prove,,,,,1357682092.0,ns,1
sudoku-prove,,,,,1351596658.0,ns,1
sudoku-prove,,,,,1348555615.0,ns,1
sudoku-prove,,,,,1347862201.0,ns,1
sudoku-prove,,,,,1346280389.0,ns,1
sudoku-prove,,,,,1343809208.0,ns,1
sudoku-prove,,,,,1346526864.0,ns,1
sudoku-prove,,,,,1357361468.0,ns,1
sudoku-prove,,,,,1352687722.0,ns,1
sudoku-prove,,,,,1360228196.0,ns,1
sudoku-prove,,,,,1346040475.0,ns,1
sudoku-prove,,,,,1355479380.0,ns,1
sudoku-prove,,,,,1378716979.0,ns,1
sudoku-prove,,,,,1354756045.0,ns,1
sudoku-prove,,,,,1354343957.0,ns,1
sudoku-prove,,,,,1344857572.0,ns,1
sudoku-prove,,,,,1354151583.0,ns,1
sudoku-prove,,,,,1345151279.0,ns,1
sudoku-prove,,,,,1352869977.0,ns,1
sudoku-prove,,,,,1358836641.0,ns,1
sudoku-prove,,,,,1354911080.0,ns,1
sudoku-prove,,,,,1349831985.0,ns,1
sudoku-prove,,,,,1363903966.0,ns,1
sudoku-prove,,,,,1349617242.0,ns,1
sudoku-prove,,,,,1363509917.0,ns,1
sudoku-prove,,,,,1361312683.0,ns,1
sudoku-prove,,,,,1354389661.0,ns,1
sudoku-prove,,,,,1340371572.0,ns,1
sudoku-prove,,,,,1360664911.0,ns,1
sudoku-prove,,,,,1337857810.0,ns,1
sudoku-prove,,,,,1369546783.0,ns,1
sudoku-prove,,,,,1359083619.0,ns,1
sudoku-prove,,,,,1349034941.0,ns,1
sudoku-prove,,,,,1343737643.0,ns,1
sudoku-prove,,,,,1376352365.0,ns,1
sudoku-prove,,,,,1361573281.0,ns,1
sudoku-prove,,,,,1369936753.0,ns,1
sudoku-prove,,,,,1347239845.0,ns,1
sudoku-prove,,,,,1349742638.0,ns,1
sudoku-prove,,,,,1349408760.0,ns,1
sudoku-prove,,,,,1358116851.0,ns,1
sudoku-prove,,,,,1345488910.0,ns,1
sudoku-prove,,,,,1355384605.0,ns,1
sudoku-prove,,,,,1339626320.0,ns,1
sudoku-prove,,,,,1360017280.0,ns,1
sudoku-prove,,,,,1337668210.0,ns,1
sudoku-prove,,,,,1348873631.0,ns,1
sudoku-prove,,,,,1345080864.0,ns,1
sudoku-prove,,,,,1347484113.0,ns,1
sudoku-prove,,,,,1356231433.0,ns,1
