group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sudoku-verify,,,,,1689325.0,ns,1
sudoku-verify,,,,,3375959.0,ns,2
sudoku-verify,,,,,5063535.0,ns,3
sudoku-verify,,,,,6752209.0,ns,4
sudoku-verify,,,,,8439914.0,ns,5
sudoku-verify,,,,,10125788.0,ns,6
sudoku-verify,,,,,11814404.0,ns,7
sudoku-verify,,,,,13499138.0,ns,8
sudoku-verify,,,,,15190893.0,ns,9
sudoku-verify,,,,,16877448.0,ns,10
sudoku-verify,,,,,18566153.0,ns,11
sudoku-verify,,,,,20253688.0,ns,12
sudoku-verify,,,,,21941732.0,ns,13
sudoku-verify,,,,,23631957.0,ns,14
sudoku-verify,,,,,25326012.0,ns,15
sudoku-verify,,,,,27006237.0,ns,16
sudoku-verify,,,,,28695741.0,ns,17
sudoku-verify,,,,,30559350.0,ns,18
sudoku-verify,,,,,32070611.0,ns,19
sudoku-verify,,,,,33765876.0,ns,20
sudoku-verify,,,,,35451431.0,ns,21
sudoku-verify,,,,,37203607.0,ns,22
sudoku-verify,,,,,38825361.0,ns,23
sudoku-verify,,,,,40510215.0,ns,24
sudoku-verify,,,,,42180059.0,ns,25
sudoku-verify,,,,,43871254.0,ns,26
sudoku-verify,,,,,45608330.0,ns,27
sudoku-verify,,,,,47257014.0,ns,28
sudoku-verify,,,,,48945099.0,ns,29
sudoku-verify,,,,,50639134.0,ns,30
sudoku-verify,,,,,52330019.0,ns,31
sudoku-verify,,,,,54022373.0,ns,32
sudoku-verify,,,,,55917633.0,ns,33
sudoku-verify,,,,,57443514.0,ns,34
sudoku-verify,,,,,59079648.0,ns,35
sudoku-verify,,,,,60877945.0,ns,36
sudoku-verify,,,,,62553689.0,ns,37
sudoku-verify,,,,,64157303.0,ns,38
sudoku-verify,,,,,65845687.0,ns,39
sudoku-verify,,,,,67539552.0,ns,40
sudoku-verify,,,,,69335250.0,ns,41
sudoku-verify,,,,,70913621.0,ns,42
sudoku-verify,,,,,72604517.0,ns,43
sudoku-verify,,,,,74374983.0,ns,44
sudoku-verify,,,,,75979706.0,ns,45
sudoku-verify,,,,,77657901.0,ns,46
sudoku-verify,,,,,79401916.0,ns,47
sudoku-verify,,,,,81028200.0,ns,48
sudoku-verify,,,,,82723886.0,ns,49
sudoku-verify,,,,,84440641.0,ns,50
sudoku-verify,,,,,86114244.0,ns,51
sudoku-verify,,,,,87790111.0,ns,52
sudoku-verify,,,,,89463683.0,ns,53
sudoku-verify,,,,,91149859.0,ns,54
sudoku-verify,,,,,92841354.0,ns,55
sudoku-verify,,,,,94529049.0,ns,56
sudoku-verify,,,,,96195922.0,ns,57
sudoku-verify,,,,,98203505.0,ns,58
sudoku-verify,,,,,99597033.0,ns,59
sudoku-verify,,,,,101286378.0,ns,60
sudoku-verify,,,,,103064024.0,ns,61
sudoku-verify,,,,,104694438.0,ns,62
sudoku-verify,,,,,106353672.0,ns,63
sudoku-verify,,,,,108022547.0,ns,64
sudoku-verify,,,,,109717512.0,ns,65
sudoku-verify,,,,,111395886.0,ns,66
sudoku-verify,,,,,113092641.0,ns,67
sudoku-verify,,,,,114840467.0,ns,68
sudoku-verify,,,,,116480662.0,ns,69
sudoku-verify,,,,,118193696.0,ns,70
sudoku-verify,,,,,119990894.0,ns,71
sudoku-verify,,,,,121554575.0,ns,72
sudoku-verify,,,,,123225991.0,ns,73
sudoku-verify,,,,,124942605.0,ns,74
sudoku-verify,,,,,126597400.0,ns,75
sudoku-verify,,,,,128328025.0,ns,76
sudoku-verify,,,,,129972919.0,ns,77
sudoku-verify,,,,,131690874.0,ns,78
sudoku-verify,,,,,133342819.0,ns,79
sudoku-verify,,,,,135035844.0,ns,80
sudoku-verify,,,,,136711278.0,ns,81
sudoku-verify,,,,,138407493.0,ns,82
sudoku-verify,,,,,140194160.0,ns,83
sudoku-verify,,,,,141854394.0,ns,84
sudoku-verify,,,,,143524469.0,ns,85
sudoku-verify,,,,,145239244.0,ns,86
sudoku-verify,,,,,146906728.0,ns,87
sudoku-verify,,,,,148557172.0,ns,88
sudoku-verify,,,,,150234907.0,ns,89
sudoku-verify,,,,,151960322.0,ns,90
sudoku-verify,,,,,153648578.0,ns,91
sudoku-verify,,,,,155342122.0,ns,92
sudoku-verify,,,,,157000236.0,ns,93
sudoku-verify,,,,,158676861.0,ns,94
sudoku-verify,,,,,160395016.0,ns,95
sudoku-verify,,,,,162115602.0,ns,96
sudoku-verify,,,,,163805787.0,ns,97
sudoku-verify,,,,,165521142.0,ns,98
sudoku-verify,,,,,167111155.0,ns,99
sudoku-verify,,,,,168838230.0,ns,100
