group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sudoku,,,,,1350260575.0,ns,1
sudoku,,,,,1353172735.0,ns,1
sudoku,,,,,1344811043.0,ns,1
sudoku,,,,,1351581543.0,ns,1
sudoku,,,,,1345318304.0,ns,1
sudoku,,,,,1347883277.0,ns,1
sudoku,,,,,1338402632.0,ns,1
sudoku,,,,,1354489643.0,ns,1
sudoku,,,,,1347057391.0,ns,1
sudoku,,,,,1346196353.0,ns,1
sudoku,,,,,1368080175.0,ns,1
sudoku,,,,,1351133865.0,ns,1
sudoku,,,,,1332665864.0,ns,1
sudoku,,,,,1353805771.0,ns,1
sudoku,,,,,1342118890.0,ns,1
sudoku,,,,,1351739489.0,ns,1
sudoku,,,,,1347851838.0,ns,1
sudoku,,,,,1349163097.0,ns,1
sudoku,,,,,1345555331.0,ns,1
sudoku,,,,,1356385326.0,ns,1
sudoku,,,,,1353153119.0,ns,1
sudoku,,,,,1346980081.0,ns,1
sudoku,,,,,1345716826.0,ns,1
sudoku,,,,,1351402353.0,ns,1
sudoku,,,,,1350553217.0,ns,1
sudoku,,,,,1351145638.0,ns,1
sudoku,,,,,1339524009.0,ns,1
sudoku,,,,,1347868381.0,ns,1
sudoku,,,,,1337866976.0,ns,1
sudoku,,,,,1348798281.0,ns,1
sudoku,,,,,1344140814.0,ns,1
sudoku,,,,,1349886044.0,ns,1
sudoku,,,,,1345447773.0,ns,1
sudoku,,,,,1352603560.0,ns,1
sudoku,,,,,1355649853.0,ns,1
sudoku,,,,,1351321754.0,ns,1
sudoku,,,,,1340884260.0,ns,1
sudoku,,,,,1348392754.0,ns,1
sudoku,,,,,1360322891.0,ns,1
sudoku,,,,,1354347567.0,ns,1
sudoku,,,,,1348967107.0,ns,1
sudoku,,,,,1358035393.0,ns,1
sudoku,,,,,1362473536.0,ns,1
sudoku,,,,,1357585675.0,ns,1
sudoku,,,,,1341716558.0,ns,1
sudoku,,,,,1358018345.0,ns,1
sudoku,,,,,1335925969.0,ns,1
sudoku,,,,,1355009942.0,ns,1
sudoku,,,,,1347405086.0,ns,1
sudoku,,,,,1364639402.0,ns,1
sudoku,,,,,1360872815.0,ns,1
sudoku,,,,,1352302627.0,ns,1
sudoku,,,,,1354451503.0,ns,1
sudoku,,,,,1353184006.0,ns,1
sudoku,,,,,1340323622.0,ns,1
sudoku,,,,,1348151813.0,ns,1
sudoku,,,,,1339985034.0,ns,1
sudoku,,,,,1342030417.0,ns,1
sudoku,,,,,1364843389.0,ns,1
sudoku,,,,,1354462424.0,ns,1
sudoku,,,,,1349373398.0,ns,1
sudoku,,,,,1345391118.0,ns,1
sudoku,,,,,1352467583.0,ns,1
sudoku,,,,,1347481140.0,ns,1
sudoku,,,,,1354827153.0,ns,1
sudoku,,,,,1348093154.0,ns,1
sudoku,,,,,1355006677.0,ns,1
sudoku,,,,,1359136082.0,ns,1
sudoku,,,,,1343566111.0,ns,1
sudoku,,,,,1350499544.0,ns,1
sudoku,,,,,1349601226.0,ns,1
sudoku,,,,,1348877342.0,ns,1
sudoku,,,,,1343485560.0,ns,1
sudoku,,,,,1353450616.0,ns,1
sudoku,,,,,1346346680.0,ns,1
sudoku,,,,,1352209590.0,ns,1
sudoku,,,,,1352383065.0,ns,1
sudoku,,,,,1365831893.0,ns,1
sudoku,,,,,1341763086.0,ns,1
sudoku,,,,,1352512668.0,ns,1
sudoku,,,,,1344510563.0,ns,1
sudoku,,,,,1350338893.0,ns,1
sudoku,,,,,1360705228.0,ns,1
sudoku,,,,,1351009877.0,ns,1
sudoku,,,,,1347204180.0,ns,1
sudoku,,,,,1367873116.0,ns,1
sudoku,,,,,1341049873.0,ns,1
sudoku,,,,,1362638279.0,ns,1
sudoku,,,,,1342633116.0,ns,1
sudoku,,,,,1346653089.0,ns,1
sudoku,,,,,1339599594.0,ns,1
sudoku,,,,,1350338175.0,ns,1
sudoku,,,,,1346478917.0,ns,1
sudoku,,,,,1358426412.0,ns,1
sudoku,,,,,1338664686.0,ns,1
sudoku,,,,,1352187264.0,ns,1
sudoku,,,,,1345738322.0,ns,1
sudoku,,,,,1357999485.0,ns,1
sudoku,,,,,1354324019.0,ns,1
sudoku,,,,,1356996115.0,ns,1
