  0.083 (0.000): C3451: pc: 02000000 Decode: AUIPC r0=0x00000000, r9=0x00000000, imm=0xfe901000
  0.083 (0.000): C3454: pc: 02000004 Decode: ADDI r3=0x00901000, r0=0x00000000, imm=0xfffff800
  0.083 (0.000): C3457: pc: 02000008 Decode: AUIPC r0=0x00000000, r9=0x00000000, imm=0xfe900000
  0.083 (0.000): C3460: pc: 0200000c Decode: ADDI r2=0x00900008, r20=0x00000000, imm=0xfffffff4
  0.083 (0.000): C3463: pc: 02000010 Decode: AUIPC r0=0x00000000, r9=0x00000000, imm=0xfe900000
  0.083 (0.000): C3466: pc: 02000014 Decode: ADDI r10=0x00900010, r0=0x00000000, imm=0x00000020
  0.083 (0.000): C3469: pc: 02000018 Decode: JAL r0=0x00000000, r24=0x00000000, imm=0x00000038
  0.083 (0.000): C3472: pc: 02000050 Decode: ADDI r2=0x008ffffc, r16=0x00000000, imm=0xffffffd0
  0.083 (0.000): C3475: pc: 02000054 Decode: SW r2=0x008fffcc, r1=0x0200001c, imm=0x0000002c
  0.083 (0.000): C3478: pc: 02000058 Decode: SW r2=0x008fffcc, r8=0x00000000, imm=0x00000028
  0.083 (0.000): C3481: pc: 0200005c Decode: LUI r0=0x00000000, r0=0x00000000, imm=0x00000000
  0.083 (0.000): C3484: pc: 02000060 Decode: LW r11=0x00000000, r16=0x00000000, imm=0x00000050
  0.083 (0.000): C3487: pc: 02000064 Decode: ADDI r10=0x00900030, r0=0x00000000, imm=0x00000000
  0.083 (0.000): C3490: pc: 02000068 Decode: LUI r0=0x00000000, r9=0x00000000, imm=0x00900000
  0.083 (0.000): C3493: pc: 0200006c Decode: ADDI r10=0x00900000, r4=0x00000000, imm=0x00000004
  0.083 (0.000): C3496: pc: 02000070 Decode: ADDI r0=0x00000000, r0=0x00000000, imm=0x00000000
  0.083 (0.000): C3499: pc: 02000074 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00003000
  0.083 (0.000): C3502: pc: 02000078 Decode: JALR r1=0x02003074, r0=0x00000000, imm=0xfffff980
  0.083 (0.000): C3505: pc: 020029f4 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00000000
  0.083 (0.000): C3508: pc: 020029f8 Decode: JALR r6=0x020029f4, r12=0x00000000, imm=0x000000ec
  0.083 (0.000): C3511: pc: 02002ae0 Decode: ADDI r0=0x00000000, r15=0x00000000, imm=0x0000000f
  0.083 (0.000): C3514: pc: 02002ae4 Decode: BGEU r13=0x0000000f, r12=0x00000000, imm=0x0000005c
  0.083 (0.000): C3517: pc: 02002b40 Decode: ADDI r10=0x00900004, r0=0x00000000, imm=0x00000000
  0.083 (0.000): C3520: pc: 02002b44 Decode: BEQ r12=0x00000000, r0=0x00000000, imm=0x00000014
  0.083 (0.000): C3523: pc: 02002b58 Decode: JALR r1=0x0200007c, r0=0x00000000, imm=0x00000000
  0.083 (0.000): C3526: pc: 0200007c Decode: ADDI r2=0x008fffcc, r24=0x00000000, imm=0x00000018
  0.084 (0.000): C3529: pc: 02000080 Decode: LUI r0=0x00000000, r31=0x00000000, imm=0x03f00000
  0.084 (0.000): C3532: pc: 02000084 Decode: LUI r8=0x00900030, r0=0x00000000, imm=0x00040000
  0.084 (0.000): C3535: pc: 02000088 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00001000
  0.084 (0.000): C3538: pc: 0200008c Decode: JALR r1=0x02001088, r16=0x00000000, imm=0xfffffbd0
  0.084 (0.000): C3541: pc: 02000c58 Decode: SW r10=0x008fffe4, r11=0x03f00000, imm=0x00000000
  0.084 (0.000): C3544: pc: 02000c5c Decode: SW r10=0x008fffe4, r12=0x00040000, imm=0x00000004
  0.084 (0.000): C3547: pc: 02000c60 Decode: SW r10=0x008fffe4, r0=0x00000000, imm=0x00000008
  0.084 (0.000): C3550: pc: 02000c64 Decode: JALR r1=0x02000090, r0=0x00000000, imm=0x00000000
  0.084 (0.000): C3553: pc: 02000090 Decode: ADDI r2=0x008fffcc, r0=0x00000000, imm=0x00000000
  0.084 (0.000): C3556: pc: 02000094 Decode: LUI r0=0x00000000, r11=0x03f00000, imm=0x02b00000
  0.084 (0.000): C3559: pc: 02000098 Decode: LUI r0=0x00000000, r5=0x00000000, imm=0x00500000
  0.084 (0.000): C3562: pc: 0200009c Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00001000
  0.084 (0.000): C3565: pc: 020000a0 Decode: JALR r1=0x0200109c, r28=0x00000000, imm=0xfffffbbc
  0.084 (0.000): C3568: pc: 02000c58 Decode: SW r10=0x008fffcc, r11=0x02b00000, imm=0x00000000
  0.084 (0.000): C3571: pc: 02000c5c Decode: SW r10=0x008fffcc, r12=0x00500000, imm=0x00000004
  0.084 (0.000): C3574: pc: 02000c60 Decode: SW r10=0x008fffcc, r0=0x00000000, imm=0x00000008
  0.084 (0.000): C3577: pc: 02000c64 Decode: JALR r1=0x020000a4, r0=0x00000000, imm=0x00000000
  0.084 (0.000): C3580: pc: 020000a4 Decode: LW r2=0x008fffcc, r24=0x00000000, imm=0x00000018
  0.084 (0.000): C3583: pc: 020000a8 Decode: SW r2=0x008fffcc, r10=0x03f00000, imm=0x0000000c
  0.084 (0.000): C3586: pc: 020000ac Decode: LW r2=0x008fffcc, r0=0x00000000, imm=0x00000000
  0.084 (0.000): C3589: pc: 020000b0 Decode: LW r2=0x008fffcc, r28=0x00000000, imm=0x0000001c
  0.084 (0.000): C3592: pc: 020000b4 Decode: LUI r0=0x00000000, r9=0x00000000, imm=0x00900000
  0.084 (0.000): C3595: pc: 020000b8 Decode: LW r2=0x008fffcc, r4=0x00000000, imm=0x00000004
  0.084 (0.000): C3598: pc: 020000bc Decode: SW r13=0x00900000, r11=0x02b00000, imm=0x00000008
  0.084 (0.000): C3601: pc: 020000c0 Decode: LW r2=0x008fffcc, r8=0x00900030, imm=0x00000008
  0.084 (0.000): C3604: pc: 020000c4 Decode: ADDI r13=0x00900000, r8=0x00900030, imm=0x00000008
  0.084 (0.000): C3607: pc: 020000c8 Decode: SW r13=0x00900008, r14=0x00500000, imm=0x00000004
  0.084 (0.000): C3610: pc: 020000cc Decode: LW r2=0x008fffcc, r0=0x00000000, imm=0x00000020
  0.084 (0.000): C3613: pc: 020000d0 Decode: SW r13=0x00900008, r11=0x00000000, imm=0x00000008
  0.084 (0.000): C3616: pc: 020000d4 Decode: SW r13=0x00900008, r10=0x03f00000, imm=0x0000000c
  0.085 (0.000): C3619: pc: 020000d8 Decode: SW r13=0x00900008, r12=0x00040000, imm=0x00000010
  0.085 (0.000): C3622: pc: 020000dc Decode: SW r13=0x00900008, r14=0x00000000, imm=0x00000014
  0.085 (0.000): C3625: pc: 020000e0 Decode: SW r13=0x00900008, r0=0x00000000, imm=0x00000018
